RESPONSES,LEVEL KOMPETENSI
"Kerja Sama; Cara yang saya lakukan adalah membuat komunikasi yang baik dan lancar, membangun rasa percaya dalam tim untuk menyelesaikan pekerjaan yang telah diberikan pada masing masing anggota tim, berdiskusi dan memberikan kesempatan kepada anggota tim untuk memberikan pendapatnya atas tugas yang diberikan.",3
"Kerja Sama; Pernah, saya menyikapinya dengan tetap fokus pada pekerjaan yang diberikan, berusaha bersikap baik, tidak terlalu diambil hati, berusaha menghidari konflik dan apabila terjadi konflik atas hal tersebut minta solusi dan pendapat atasan untuk menyelesaikan permasalahan tersebut.",3
"Kerja Sama; Pernah, saya menghadapinya dengan memberitahu pimpinan atas permasalahan yang terjadi, kemudian melakukan pertemuan dengan pihak internal dan eksternal untuk menyelesaian permasalahan yang terjadi agar mendapatkan solusi agar proyek atau pekerjaan yang diberikan dapat terselesaikan.",3
"Kerja Sama; Dilakukan melalui    a. Melihat latar belakang tugas pekerjaan tersebut dengan memetakan keluasan dan  kedalaman nya sehingga di peroleh siapa saja yang ikut berpartisipasi dalam  penyelesaian tugas,  b. Secara bersama sama melakukan komunikasi dan memetakan pembebanan tugas tugas yang akan dilaksanakan, sehingga terbentuk suatu komitmen dalam  menyelesaikan tugas termasuk apabila terjadi permasalahan, dengan cara yang bagaimana agar terbentuk solusi penanganan,  c. Komunikasi aktif harus selalu dilaksanakan sesuai proporsi nya, agar tercipta  sinergitas dan dukungan smua pihak dalam menyelesaikan tugas. ",3
"Kerja Sama; Kejadian ini dalam penanganan covid 19 yaitu pada waktu melaksanakan kerjasama  penyediaan gas medis dengan pihak PANCA PRIMA, waktu itu ada penolakan dari pihak  ketiga penyalur gas medis ke RSUD, sebagai alasan yang diambil bahwa kita harus  lansung melakukan kerjasama ini dengan alasan kemanuasiaan, karena pihak ketiga  dalam mensuplai gas medis berasal dari distributor, sedangkan dalam pola kerjasama ini  dilakukan lansung dengan pihak produsen gas medis, tanpa mengurangi pasokan dari  pihak ketiga tersebut, kenapa demikian karena puskesmas sebagai garda terdepan  penanganan covid 19 juga menyediakan tempat isolasi, keterbatasan anggaran di  puskesmas ini harus di jawab melalui kerjasama tersebut, yang menjadikan RSUD sebagai penyediaan tempat pengisian tabung oksigen bagi puskesmas dan RS swasta  dan tempat tempat yang dijadikan pusat isolasi lainnya. ",3
"Kerja Sama; Dalam penanganan HIV AIDS, bahwa secara struktur komisi penanganan AIDS  KPA   sudah dibubarkan di tingkat provinsi, namun secara implementasi keberadaan mereka  dibutuhkan, karena kelompok kelompok kunci yang rentan mereka sudah terpetakan  dengan pengelola program.  Sebagai dukungan pemerintah daerah terhadap KPA ini berbentuk anggaran  hibah ,  karena sudah dibubarkan pemerintah daerah mendorong agar KPA dibuat sebagai suatu  lembaga  LSM  yang membidangi penanganan AIDS yang terlegitimasi, sehingga  pemerintah daerah mempunyai dasar hukum yang tetap dan bisa sinergis dalam  menangani HIV AIDS, pada awal nya di tolak oleh mereka, alasan nya  kalau memang  pemda konsen terhadap hal ini ya bantu aja, tidak usah nyari nyari alasan , kita sudah  melakukan pendekatan ke mereka dan melalui komunikasi dengan komisi IV DPRD maka  diterbitkan PERDA penanganan HIV AIDS tahun 2022, pada akhirnya mereka bisa  memahami terkait aturan yang berlaku. Dinas kesehatan dapat bersinergi dalam  penanganan HIV AIDS ini bersama sama KPA. ",3
"Kerja Sama; Dengan membangun sinergi antar sub bagian, bidang serta seksi hingga uptd. Setiap  unit kerja memiliki karakter unik yang masing masing perlu pendekatan yang berbeda  dalam menyelesaikan target kerja organisasi. Diawali dengan lebih banyak menjadi  pendengar terlebih dahulu dengan pendekatan kekeluargaan, agar mendapatkan  informasi yang jelas, sehingga dalam memberikan perintah dan masukkan kepada unit  kerja dapat diterima serta segera dilaksanakan.  Semua dibagi habis sesuai dengan tugas pokok dan fungsi yang dimiliki masing masing  unit kerja, sehingga dalam pencapaian dan penyelesaian target kerja organisasi dapat  terselesaikan. Yang tidak lupa adalah setelah membagi habis tugas, selalu melaporkan  proses serta harapan hasil yang akan dicapai kepada pimpinan. ",2
"Kerja Sama; Seringkali terjadi dan akan terus terjadi karena akan bedanya persepsi serta sudut  pandang. Namun diawali dengan mendengar serta menganalisis dari informasi informasi  yang ada, maka akan dilanjutkan dengan komunikasi yang lebih dikedepankan kepada  pendekatan kekeluargaan, maka narasi serta argumen yang didasari atas aturan aturan  serta penjelasan logis yang disampaikan dapat diterima, yang pada akhirnya semua  dapat terselesaikan secara baik dan benar.  Bukan dihadapi dengan emosional ataupun frontal, dikarenakan kembali kepada tugas  utama ASN adalah sebagai pelayan publik.  Hasil dari komunikasi dalam menghadapi berbagai pihak, semuanya dilaporkan kepada  Kepala Dinas sebagai bahan laporan agar bila ada informasi yang sampai pada  pimpinan sudah ditindaklanjuti sesuai dengan porsinya.",2
"Kerja Sama; Pernah dalam menyelesaikan pekerjaan pengadaan jasa lainnya, yaitu pengadaan  tenaga alih daya  outsourcing . Permasalahan yang terjadi adalah ketika di tahun 2022  tenaga outsourcing hanya dipersiapkan untuk Sekretariat Dinas saja, namun di tahun  2023 tenaga outsourcing dibutuhkan untuk di semua bidang dan uptd. Namun setelah  dilakukan komunikasi dan diskusi terkait aturan yang berlaku, pada akhirnya pihak  penyedia jasa memahami terhadap situasi yang terjadi, sehingga penyedia jasa  mendaftarkan dirinya menjadi penyedia jasa di e catalogue lokal khusus penyediaan  jasa alih daya  outsourcing . Sehingga masukan serta perintah yang diminta oleh saya  kepada penyedia jasa dapat dilakukan sesuai dengan aturan yang berlaku. ",2
"Kerja Sama; Dimulai pada tahapan persiapan dilaksanakan briefing di ruang kerja, untuk menyusun  rencana kegiatan serta target. Selanjutnya dilaksanakan komunikasi informal, misal di  wag bidang pemberdayaan atau pun komunikasi ditempat lain. ",1
"Kerja Sama; Pernah.  Orang dari luar yang mengusulkan menjadi e warong.  Langkah yang dilakukan   berdiskusi dengan yang bersangkutan, selanjutnya dijelaskan  secara normatif berdasarkan ketentuan peraturan perundang undangan. ",1
"Kerja Sama; Pernah.  Pada saat penanganan kasus kesejahteraan sosial.  Pada tanggal 7 Maret 2023, Petugas Balai Phala Martha melaksanakan assesment kasus  A di Kabupaten Ciamis, pada saat yang sama Dinas Sosial sedang menangani Ibu  Sutiyem lansia terlantar. Pada saat itu kami minta bantuan ke Petugas Phala Martha untuk  melaksanakan assesment, tetapi tidak bisa dilaksanakan karena tidak ada perintah dari  atasannya. Selanjutnya saya menghubungi Kepala Balai Phala Martha, tetapi pada hari  tersebut tidak ada jawaban, sehingga petugas phala martha tidak bisa melaksanakan  assesment terhadap Ibu Sutiyem.  Selanjutnya penanganan Ibu Sutiyem tetap ditangani dan dikoordinasikan dengan Pusat  Pelayanan Rehabilitasi Sosial Lansia Dinas Provinsi Jawa Barat. ",1
"Kerja Sama; Untuk mengembangkan hubungan kerjasama untuk menyelesaikan tugas adalah  dengan bagaimana kita menciptakan suasana kerja yang nyaman antar rekan  kerja, saling menghargai perbedaan, saling membantu satu sama lain dalam  pekerjaan, memperlakukan setiap orang dengan adil, Berkomunikasi sesama  rekan kerja dengan baik, Menghormati waktu rekan kerja, Menggunakan media  sosial dengan bijak dan bertanggungjawab dalam pekerjaan.",2
"Kerja Sama;   Pernah, Kadang saya menghadapi situasi dimana adai pihak pihak yang tidak  sejalan.    Yang perlu dilakukan dalam menghadapi hal tersebut, adalah kita harus bersikap  sabar dan terbuka, Kita tidak harus menutup diri dan menganggap kita paling  benar, Kita perlu mempelajari situasi dan kondisi yang terjadi lebih dahulu,  mengapa pihak lain tidak sejalan dengan kita, kemudian introspeksi diri terhadap  apa yang sudah kita kerjakan sehingga pihak lain tidak sejalan dengan kita,  lakukan koordinasi dengan berbagai pihak baik itu yang sejalan maupun yang tidak sejalan untuk saran dan masukan apa sebaiknya yang harus dilakukan, dan bila  diperlukan laksanakan rapat kerja untuk membahas hal tersebut secara bersama sama. ",2
"Kerja Sama;   Saya pernah mengalami permasalahan saat bekerja bersama dengan pihak pihak  lain.    Pada saat saya melaksanakan tugas di Kecamatan Cisaga, pada waktu itu saat  terjadi pandemi Covid 19, pada saat itu juga di setiap kecamatan yang berada di  jalan nasional dan berbatasan dengan Kabupaten  Kota lain wajib melaksanakan  piket perbatasan yang melibatkan unsur Kecamatan, Polsek, Koramil, UPTD  Perhubungan, Puskesmas dan RAPI. Setiap hari ditunjuk tim piket yang terdiri dari  semua unsur, lebih singkatnya dibuat jadwal piket setiap hari. Tugas petugas piket  adalah melakukan pemeriksaan terhadap laulintas orang yang masuk ke wilayah  Kabupaten Ciamis yang melalui jalan tersebut. Ada satu hari pada saat dilakukan  monitoring terdapat kejadian bahwa petugas piket tidak ada yang datang dan  belum diketahui permasalahannya.     Saya pada waktu itu sebagai Sekretaris Kecamatan, melaporkan kepada Camat  akan hal tersebut dan melakukan penggalian informasi awal permasalahannya,  yang akhirnya ditemukan adalah adanya keluhan terhadap keterlambatan  pasokan konsumsi dan komplain dari pemilik tanah lokasi pendirian posko. Camat  pada waktu itu segera mengadakan rapat bersama demngan semua pihak  termasuk pemilik tanah dan membahas secara bersama sama permasalahan  tersebut, dan akhirnya diperoleh keputusan bersama, yang intinya bahwa  konsumsi diupyakan untuk dikirim tepat waktu dengan bekerjasama dengan  penyedia yang terdekat dan untuk pemilik tanah akan diberikan kompensasi pada  akhir kegiatan yang dianggarkan dari Anggaran Kecamatan. ",2
"Kerja Sama; Cara yang saya lakukan dalam rangka mengembangkan hubungan kerjasama untuk  menyelesaiakan tugas, yaitu dengan membangun dan mengedepankan team work, dimana setiap anggota team memiliki keleluasaan untuk menyampaikan pendapat, saran,  ide ataupun gagasan yang dimilikinya berkaitan dengan tugas yang sedang diselesaikan,  sehingga tertanam dalam setiap diri anggota team rasa tanggung jawab terhadap  keberhasilan tugas yang dilaksanakan. ",1
"Kerja Sama; Pernah. Pada tahun 2018 dalam forum rapat pembahasan operasionalisasi Rumah Sakit  Kawali, pada saat itu ada seorang Kepala Dinas berkehendak untuk memfungsikan bangunan gedung Rumah Sakit Kawali menjadi Puskesmas, dengan alasan untuk  pemanfaatan bangunan gedung yang sudah lama dibangun tetapi masih belum  dipergunakan. Sementara saya tidak sependapat dengan rencana tersebut dikarenakan  berbagai alasan terutama alasan normatif dan penyalahgunaan bangunan, mengingat  bangunan tersebut di bangun dengan sumber dana hibah dari Pemerintah Provinsi  dengan peruntukan untuk Rumah Sakit, jadi tidak tepat dan menyalahi aturan apabila  difungsikan untuk Puskesmas. Apabila keinginan Kepala Dinas tersebut dilaksanakan  maka akan menimbulkan permasalahan dan pelanggaran hukum.  Dalam mengatasi situasi tersebut, beberapa hal saya lakukan yaitu   a. Tetap menghargai pemikiran yang dikemukakan sebagai bentuk dinamika dalam  sebuah forum pembahasan, meskipun pemikiran tersebut tidak sejalan dengan  pemikiran saya ataupun peraturan yang ada.  b. Menyampaikan argumentasi dan pemahaman dengan penjelasan yang bisa  dipertanggungjawabkan dan bisa dipahami, baik dari aspek normatif regulasi maupun  dampak akibat yang akan ditimbulkan apabila pemikiran tersebut dilaksanakan.  c. Memberikan alternatif solusi untuk melakukan pemenuhan persyaratan ijin operasioanalisasi Rumah Sakit, sehingga bangunan gedung bisa segera di fungsikan.",1
"Kerja Sama; Pernah. Pada saat sedang melaksanakan kegiatan penyusunan laporan kinerja, dan penyusunan dokumen perencanaan, yang rutin dilaksanakan setiap tahun, yang  melibatkan peran dan kerjasama seluruh OPD. Permasalahan yang muncul biasanya  terkait dengan penyampaian data informasi oleh rekan rekan dari OPD lain yang tidak  sesuai dengan yang diharapkan, baik terkait dengan validitas data informasi maupun  ketepatan waktu penyampaian. Menghadapi masalah ini, terus dilakukan konfirmasi dan  koordinasi melalui berbagai jenis sarana, misalnya desk evaluation, asistensi, ataupun  mungkin sekedar komunikasi melalui telepon selular, semua tergantung urgensi permasalahan yang ada, sehingga permasalahan tersebut dapat terselesaikan. ",1
Kerja Sama; Saya akan berkoordinasi dengan dinas terkait dan akan menugaskan para kabid untuk menjalin kerjasama serta terus berkomunikasi dengan dinas terkait dan hasilnya akan saya laporkan kepada pimpinan.,2
"Kerja Sama; Pernah, dengan cara pendekatan saya akan mengundang mereka untuk menanyakan duduk permasalahan dan solusi terbaik untuk memecahkan suatu masalah sampai mendapat kesepakatan dengan tujuan utama terciptanya kondusifitas. Hasil dari pertemuan tersebut, akan saya laporkan kepada pimpinan. ",2
"Kerja Sama; Pernah, Saya melakukan pertemuan rutin dengan semua pihak terkait dengan pekerjaan atau proyek tertentu secara berkala, saya akan memantau dan mengevaluasi progres yang sedang dikerjakan. Dengan cara itu, kita akan mengetahui hambatan dan kendala yang ada dilapangan dan dengan secepatnya mencari solusi terbaik untuk memecahkan hambatan dan masalah yang sedang terjadi agar semua bisa berjalan sesuai dengan rencana. ",2
"Komunikasi; Pernah, kejadian ini terjadi saat mulai terjadinya pandemi covid 19.   Saat itu Dinas Komunikasi dan Informatika  Bidang Pengelolaan Statistik dan Data Elektronik  selaku Koordinator Bidang Data dan Informasi pada Satuan Tugas Penanganan Pandemi Covid 19 Kabupaten Ciamis merumuskan dan menyusun tata kelola data covid 19 dan mengusulkan adanya dashboard eksekutif terkait pemetaan kasus, kepatuhan penerapan prokes dan vaksinasi berdasarkan kewilayahan. Setelah melalui serangkaian tahapan diskusi dan kelayakan akhirnya disetujui untuk diterapkan sebagai sistem informasi covid 19 kabupaten ciamis.",2
"Komunikasi; Penyebaran informasi dilingkungan kerja dilakukan melalui media  Offline   diawali dengan penyiapan konsep perumusan dan penyusunan dari unit kerja terkait  jika mendesak diambil alih oleh sekretariat dan dikoordinasikan terlebih dahulu dengan unit kerja terkait , verifikasi dan pemberian paraf sesuai dengan ketentuan, penandatanganan sesuai dengan kewenangan, pencatatan pendokumentasian dan penyebarluasan informasi melalui kurir.  Online   penyebarluasan dilakukan melalui pesan Whatapps Group sesuai dengan kepentingannya.    Untuk memastikan informasi telah diterima melalui pemantauan registrasi penerimaan sesuai media yang digunakan.",2
"Komunikasi; Pernah   Terhadap situasi dimana informasi yang disampaikan rekan tim organisasi belum jelas, dilakukan beberapa tahapan, diantaranya  Mengkonfirmasi dan meminta ulang informasi yang diperlukan. Melakukan koordinasi dan konsultasi dengan stakeholder unit kerja terkait yang menghasilkan data yang diperlukan dimaksud. Mencari referensi dari sumber data sekunder lainnya seperti browsing di internet  media sosial media informasi lainnya.",2
"Komunikasi; Yang namanya organisasi pemerintahan dalam pelaksanaan tugas dan fungsinya termasuk penganggaran sudah terikat dengan SIPD dalam nomenklatur program, kegiatan dan sub kegiatan. Yang memungkinkan adalah di sisi aktivitas yang akan dilakukan termasuk memasukan mengusulkan program atau rencana kerja. Contoh  usulan yang sering saya sampaikan adalah Pentahelix dalam setiap pelaksanaan program dan kegiatan misal dalam kegiatan sosialisasi dan pemberdayaan maka diusulkan untuk mengundang dan melibatkan sektor Perbank an, Akademisi dan Kelompok Masyarakat atau sektor swasta dan BUMN BUMD termasuk dinas lain sebagai narasumber. Usulan biasanya disampaikan pada saat briefing rapat perencanaan dan penyusunan program dan kegiatan. Advokasi, komunikasi, success story dan case study, terakhir adalah otorisasi.  ",3
"Komunikasi;  Sebagai sekretaris salah satu tugasnya adalah mengelola data dan informasi termasuk menyebarluaskan data dan informasi tersebut, yang dilakukan adalah  Identifikasi dahulu jenis informasi dan siapa yang harus menerima informasi tersebut  terbuka atau tertutup  Identifikasi jenis media apa yang harus digunakan untuk menyampaikan informasi tersebut  medsos, personal medsos  WA, SMS dll  atau langsung lisan  Siapa yang bisa membantu penyampaian informasi atau harus secara langsung Setelah jelas jenis informasi, siapa yang harus menerima dan media apa yang harus digunakan sebarkan dan sampaikan informasi tersebut Untuk mengetahui sudah sampai atau tidak kepada yang berkepentingan apabila informasi tersebut berarti kita bisa langsung mengetahui apakah informasi tersebut sudah sampai atau belum apabila bersifat terbuka kita bisa langsung menyampaikan pada saat apel pagi, atau mengambil sampling untuk di cek.  ",3
"Komunikasi; Sebagai sekretaris salah satu tugasnya adalah mengelola data dan informasi, apabila informasi yang disampaikan rekan tim organisasi belum jelas Apablia informasi tersebut berasal dari eksternal maka  Identifikasi sumber informasi tersebut  Kita bisa langsung dan atau meminta rekan tersebut untuk meminta kembali informasi lebih lengkap kepada nara sumbernya Apabila informasi tersebut merupakan informasi dari tugas yang dia lakukan maka  Cek kembali informasi yang dia sampaikan berdasarkan data yang dimiliki Apabila ada kekurangan lengkapi bersama dengan diawali penjelasan data dan informasi apa yang dibutuhkan   ",3
"Komunikasi; Pernah saya lakukan pada tahun 2020 ketika itu sedang ada musibah pandemi Covid 19. Saya selaku Kepala Bidang Layanan Perpustakaan ingin membuat suatu terobosan ketika dalam masa pandemi sudah dimaklumi anggaran kegiatan OPD di refocusing tapi saya tetap ingin melaksanakan program Perpustakaan Berbasis Inklusi Sosial dengan mengusulkan kegiatan tersebut kepada Kepala Dinas Perpustakaan dan Kearsipan, dan ketika itu Kepala Dinas bertanya darimana anggaran nya  saya menjawab dan menyampaikan satu gagasan untuk bekerjasama dengan pihak lain sebagai sponsorship dan bekerjasama dengan komunitas film binaan dinas perpustakaan sebagai mitra untuk kegiatan dimaksud. Dan karena kegiatan yang akan dilaksanakan adalah implementasi program perpustakaan berbasis inklusi sosial merupakan kegiatan produksi berupa pembuatan film pendek tentang Literasi, dan kegiatan kegiatan lain pembuatan video tentang literasi, maka tanpa kesulitan ada beberapa sponsorship yang mendanai program kegiatan tersebut. Dan alhamdulillah proses itu terlaksana dengan baik dan kegiatan tersebut menjadi inovasi yang di lomba kan di tingkat Kabupaten dan tingkat Jawa Barat. Artinya dengan membangun komunikasi yang baik dengan Kepala Dinas sebagai pimpinan Organisasi perwujudan dukungan dan persetujuan kegiatan bisa tereralisasikan dengan baik meskipun situasi pandemi. ",4
"Komunikasi; Hal tersebut terjadi ketika saya menjadi Kepala Bidang Perdagangan DKUKMP pada tahun 2019 saya mengerjakan suatu projek program pembinaan PKL yaitu berupa mencari bantuan hibah gerobak PKL ke Kementerian Perdagangan untuk lokasi di ciamis kota dan ketika dalam proses teknis ada pihak yang tidak sejalan bahkan mendiskreditkan saya dengan berasumsi negatif. Dalam mengatasi hal tersebut,  Pertama saya secara kedinasan memberikan penjelasan lisan secara langsung untuk memberikan informasi terhadap program yang sedang telah dilaksanakan,  Kedua saya berusaha bersikap tenang terhadap asumsi yang muncul, dan  Ketiga menjalin komunikasi dan klarifikasi dengan stakeholder stakeholder,untuk meyakinkan serta penguatan terhadap program yang saya kerjakan. Dan hasil nya positif meskipun proses nya panjang.",4
"Komunikasi; Pengalaman tersebut terjadi ketika saya sebagai Kepala Bidang Layanan, Pengolahan dan Pelestarian Bahan Pustaka, saya sebagai KPA terhadap pengadaan Sarana dan Prasarana tersebut yang bernilai 500 juta dari anggaran DAK tahun 2021 dan permasalahannya pihak ketiga sebagai pemenang lelang yang telah menjadi penyedia pengadaan sarana dan prasarana layanan perpustakaan tersebut ketika TMT yang disepakati dalam kontrak habis, pekerjaan pengaadaan nya belum terealisasi 100  . Alasan nya kehabisan dana untuk belanja pengadaannya.  Situasi yang saya hadapi ketika itu adalah  Melakukan pendekatan personal terhadap pihak ketiga tersebut, untuk menggali informasi permasalahan Mencari dan merumuskan penyelesaian dengan solusi dan tindakan cepat Membantu mencari jejaring yang bisa menjadi mitra untuk menyelesaikan permasalahan kekurangan dana untuk belanja sarana dan prasarana tersebuT ",4
Komunikasi; Usulan program yang kita usulkan harus sesuai dengan output dan dampak yang lebih luas maka kita mengusulkan program tersebut. Kita sampaikan untuk organisasi agar dapat bermanfaat bagi kepentingan umum dengan mengusulkan program tersebut di barengi dengan analisa dan faktor   faktor yang dapat meyakinkan   ,1
Komunikasi; Untuk menginformasikan kepada seluruh jajaran yang menjadi sasaran informasi adalah   1. kita membuat surat undangan pada seluruh kepala desa dan UPTD dan muspika tingkat kecamatan. 2. melakukan rapat koordinasi dengan para pemangku kepentingan dapat disampaikan hal hal yang harus dilakukan dan dilaksanakan   ,1
Komunikasi; 1. dilakukan diskusi dengan yang memberi informasi  2. mencari informasi lain sebagai informasi tambahan 3. melakukan kajian kajian yang berakitan dengan informasi yang relevan  4. meminta masukan dari pihak pikhak yang lain tetntang masalah informasi tersebut ,1
"Komunikasi; Pernah mengajukan usulan program kerja membangun sistem verifikasi keuangan di lingkungan Sekretariat Daerah. Untuk meyakinkan organisasi agar usulan tersebut  diterima dibuat proposal usulan dengan menyampaikan permasalahan, langkah  langkah yang akan dilakukan, implementasi pelaksnaannya serta keuntungan dari  sistem aplikasi tersebut. Dengan proses itu akhirnya usulan tersebut dapat diterima.",3
"Komunikasi; 1. Pemanfaatan media sosial Media sosial sangat berperan dalam penyebaran informasi, siapa pun bisa menjadi pembuat berita dan memberikan dampak kepada orang banyak. Begitupun dengan konsumsi informasi yang dapat dengan bebas dinikmati siapa saja melalui media digital. Media sosial memiliki beberapa karakteristik terkait penyampaian informasi di dunia digital. Beberapa karakteristik tersebut diantaranya pesan yang disampaikan bersifat umum dan ditujukan untuk banyak orang. Isi pesan yang disampaikan bersifat bebas, Pesan yang disampaikan cenderung lebih cepat menyebar dibanding media lainnya. Salah satunya adalah pemafaatan whatsaap grup organisasi. Penyebaran informasi melalui whatsaap grup organisasi ini sebagai media alternatif penyebaran informasi selain media konfensional seperti brosur, leaflet, dan komunikasi tatap muka sehingga pesan atau informasi lebih cepat diterima. 2. Menyampaikan informasi melalui nota dinas atau surat dinas Selain melalui media sosial, penyebaran informasi juga dilakukan melaui nota dinas atau surat dinas sebagai bukti tertulis hitam di atas putih bahwa informasi telah disampaikan kepada pihak yang berkepentingan di lingkungan kerja. 3. Melaksanakan forum diskusi atau tatap muka secara langsung dengan pihak yang berkepentingan. Penyampaian informasi juga dapat dilaksanakan melalui forum diskusi langsung, selain untuk memastikan bahwa informasi sudah sampai pada penerima, forum diskusi juga bermanfaat untuk menyelesaikan permasalahan jika ada permasalahan terkait informasi yang disampaikan.",3
"Komunikasi; Pernah, hal yang dilakukan pada saat menerima informasi yang tidak jelas yaitu yang pertama adalah berusaha menjadi pendengar yang baik terlebih dahulu karena hal ini penting dalam melaksanakan komunikasi yang efektif dalam tim kerja organisasi, kita dituntut tidak hanya memperhatikan apa yang mereka sampaikan tetapi dalam komunikasi internal juga penting untuk memperhatikan bahasa tubuh dan ekspresi orang yang diajak bicara. Selanjutnya setelah kita mendengarkan kita perlu memastikan dari mana sumber informasi tersebut sehingga kita dapat mengkonfirmasi secara langsung dari pemberi informasi pertama terkait informasi yang disampaikan.",3
"Komunikasi; Usulan program kerja terhadap organisasi rutin dilaksanakan per tahun. Disesuaikan dengan peraturan perundang undangan yang berlaku atas program kegiatan tersebut  Kepmendagri 050 5889 Tahun 2021 tentang Hasil Verifikasi, Validasi, Inventarisasi, Verifikasi, Validasi dan Inventarisasi Pemutakhiran Klasifikasi, Kodefikasi dan Nomenklatur Perencanaan Pembangunan dan Keuangan Daerah. Sesuai dengan tugas fungsi pekerjaan. Disesuaikan dengan pencapaian visi misi dan janji Bupati sesuai RPJMD Kabupaten Ciamis 2019 2024.  ",1
"Komunikasi; Menyebarkan informasi di lingkungan kerja  Koordinasi dilaksakan baik secara lisan maupun melalui sosial media  WA Group  dan surat resmi sebagai dokumentasi yang ditanda tangan pimpinan, di kirim E mail.  ",1
"Komunikasi; Menyebarkan infomasi yang diterima belum jelas, dilakukan langkah langkah  Konfirmasi ulang atas informasi yang harus disebar luaskan tersebut. Dasar hukum dari informasi tersebut. Sasaran siapa penerima informasi tersebut. Tujuan informasi tersebut, output informasi tersebut. Dampak apabila informasi tersebut tidak disampaikan. ",1
"Komunikasi; Pada Bulan Juli 2022, Kepala Dinas P2KBP3A, ditugaskan untuk mengikuti Diklatpim Tk.II. Untuk itu beliau diwajibkan untuk membuat sebuah Inovasi Proyek Perubahan yang dapat diterapkan dan berdampak pada peningkatan kinerja dinas. Untuk proyek perubahan ini saya mengusulkan agar membuat sebuah gerakan bersama dalam upaya pencegahan stunting yang melibatkan unsur pentahelix melalui pendampingan kepada keluarga berisiko stunting. Keluarga berisiko stunting tersebut berdasarkan hasil Pendataan Keluarga Tahun 2021  PK21  dengan pertimbangan data tersebut memiliki metadata by name by adress sehingga jelas sasaran yang akan didampingi. Karena data tersebut sifatnya dinamis maka hasil PK21 tersebut harus diverifikasi dan divalidasi oleh PK  pendamping keluarga  Lokus yang akan dijadikan sample adalah Desa desa yang memiliki jumlah keluarga berisiko stuntingnya tinggi. Pendampingan dilakukan oleh para kader di lapangan yang jumlahnya cukup banyak. Allhamdulillah usulan tersebut disetujui oleh Kadis.Inovasi tersebut diberi nama GERBAH STUNTING MANIS  Gerakan Bersama Cegah Stunting Masyarakat Ciamis . Dilaksanakan di 5 Desa pada lima Kecamatan. Bersyukur lagi, dengan inovasi ini Kepala Dinas Lulus Diklatpim II dengan Predikat Sangat Memuaskan. Peringkat ke 6 untuk 10 besar llusan terbaik dari 94 orang peserta Diklat dan satu satunya  dari 5 peserta perwakilan Ciamis yang mendapatkan predikat Sangat Memuaskan.",3
"Komunikasi; Pernah, misalnya seperti yang saya ceritakan pada point  2  diatas tentang Peraturan Disiplin PNS  waktu itu PP 53 2010  Langkahnya, saya buat resume tentang isi PP 53 2010 dan dibagikan untuk dipelajari beberapa waktu  sekitar 2 hari . Lalu menjelaskankannya bagian perbagian dan menjelaskannya dalam contoh yang dekat dengan penerima informasi. Memastikan bahwa informasi telah sampai pada penerima, kembali kepada yang saya ceritakan pada point  2  menunjukan bahwa informasi tersebut bukan hanya sudah sampai ke pada penerima informasi, malah sudah dalam tahapan aplikatif",3
Komunikasi; BELUM PERNAH,3
